"day","stockNum","open","close","gain"
62,3,18.08,18.14,0.00331858407079659
63,3,18.23,18.36,0.0071311025781678
64,3,18.35,18.56,0.0114441416893731
65,3,18.5,18.67,0.00918918918918928
66,3,18.66,18.57,-0.00482315112540192
67,3,18.78,18.85,0.00372736954206604
68,3,18.9,18.59,-0.0164021164021163
69,3,18.57,18.7,0.00700053850296171
70,3,18.79,18.63,-0.00851516764236297
71,3,18.68,18.9,0.0117773019271948
72,3,18.8,18.89,0.00478723404255318
73,3,18.8,18.73,-0.00372340425531916
74,3,18.55,18.76,0.0113207547169812
75,3,18.98,19,0.00105374077976815
76,3,18.97,18.94,-0.0015814443858723
77,3,19.04,18.82,-0.0115546218487394
78,3,18.89,18.9,0.000529380624669032
79,3,18.77,18.95,0.00958977091102822
80,3,18.96,19.1,0.00738396624472577
81,3,19.1,18.8,-0.0157068062827226
82,3,18.75,18.59,-0.00853333333333334
83,3,18.7,18.86,0.00855614973262033
84,3,18.91,19.02,0.00581702802749865
85,3,19.04,19.03,-0.000525210084033509
86,3,19.02,19.05,0.00157728706624612
87,3,18.93,18.95,0.00105652403592179
88,3,18.91,18.83,-0.00423056583818095
89,3,18.69,18.49,-0.0107009095773142
90,3,18.6,18.98,0.0204301075268817
1,4,20.45,20.35,-0.00488997555012215
2,4,20.63,21.17,0.0261754726127001
3,4,21.09,21.1,0.000474158368895285
4,4,21.25,21.01,-0.0112941176470587
5,4,21.18,21.03,-0.00708215297450418
6,4,21.09,21.52,0.0203888098624941
7,4,21.61,21.92,0.0143452105506711
8,4,21.79,22.13,0.015603487838458
9,4,22.1,22.3,0.00904977375565608
10,4,21.25,21.04,-0.00988235294117651
11,4,20.89,20.65,-0.0114887505983725
12,4,20.62,20.82,0.00969932104752664
13,4,20.92,20.79,-0.00621414913957947
14,4,20.85,20.55,-0.0143884892086331
15,4,20.6,20.84,0.0116504854368931
16,4,20.87,20.6,-0.0129372304743651
17,4,20.69,20.53,-0.00773320444659256
18,4,20.8,20.89,0.00432692307692307
19,4,21.09,20.93,-0.00758653390232338
20,4,20.96,20.96,0
21,4,20.98,21.11,0.00619637750238317
22,4,21.14,21.23,0.0042573320719016
23,4,21.22,21.28,0.00282752120640916
24,4,21.37,21.31,-0.00280767430978017
25,4,21.38,21.51,0.00608044901777374
26,4,21.3,21.36,0.00281690140845064
27,4,21.42,21.03,-0.0182072829131653
28,4,20.93,20.8,-0.00621118012422356
29,4,20.89,20.87,-0.000957395883197682
30,4,20.96,21.14,0.00858778625954197
31,4,21.21,21.31,0.00471475719000461
32,4,21.26,21.23,-0.00141110065851369
33,4,21.06,21.18,0.00569800569800575
34,4,20.97,20.88,-0.00429184549356222
35,4,21,20.97,-0.00142857142857148
36,4,20.83,20.76,-0.00336053768602961
37,4,20.81,20.85,0.00192215281114862
38,4,20.49,20.03,-0.0224499755978525
39,4,20.05,19.86,-0.00947630922693273
40,4,19.52,19.59,0.00358606557377051
41,4,19.51,19.22,-0.0148641722193748
42,4,18.98,19.11,0.0068493150684931
43,4,19.34,19.4,0.00310237849017574
44,4,19.36,19.12,-0.012396694214876
45,4,19.28,19.23,-0.00259336099585066
46,4,19.36,19.1,-0.0134297520661156
47,4,19.11,19.48,0.0193615907901623
48,4,19.29,19.12,-0.00881285640228088
49,4,19.19,19.23,0.00208441896821257
50,4,19.21,19.14,-0.00364393545028632
51,4,19.15,19.15,0
52,4,19.2,19.11,-0.00468749999999999
53,4,19.04,18.99,-0.0026260504201681
54,4,19.05,19.34,0.0152230971128608
55,4,19.24,19.16,-0.00415800415800407
56,4,19.19,19.27,0.00416883793642513
57,4,19.26,19.29,0.00155763239875377
58,4,19.25,19.06,-0.00987012987012994
59,4,18.98,18.86,-0.00632244467860911
60,4,19.01,19.09,0.00420831141504462
61,4,19.08,19.13,0.0026205450733753
62,4,19.15,19.13,-0.00104438642297648
63,4,19.22,19.31,0.00468262226847034
64,4,19.35,19.38,0.0015503875968991
65,4,19.29,19.58,0.0150336962156557
66,4,19.88,20.1,0.0110663983903422
67,4,20.1,20.68,0.0288557213930347
68,4,20.59,20.47,-0.00582807187955323
69,4,20.38,20.5,0.00588812561334647
70,4,20.41,20.46,0.00244977951984325
71,4,20.41,20.69,0.0137187653111221
72,4,20.67,20.98,0.0149975810353168
73,4,21.32,21.35,0.00140712945591
74,4,21.16,21.81,0.0307183364839319
75,4,22.05,22.16,0.00498866213151925
76,4,22.03,21.91,-0.0054471175669542
77,4,21.95,21.94,-0.000455580865603554
78,4,21.99,22.26,0.0122783083219647
79,4,22.13,22.09,-0.00180750112968817
80,4,21.92,21.87,-0.00228102189781025
81,4,21.78,21.5,-0.0128558310376493
82,4,21.56,21.8,0.0111317254174398
83,4,21.81,21.93,0.00550206327372769
84,4,22.11,21.74,-0.0167345092718227
85,4,21.95,21.9,-0.00227790432801826
86,4,21.92,21.96,0.00182481751824814
87,4,21.98,22.15,0.00773430391264778
88,4,22.04,22.47,0.0195099818511797
89,4,22.36,22.21,-0.00670840787119851
90,4,22.32,22.28,-0.00179211469534046
1,5,20.98,21.34,0.0171591992373689
2,5,21.38,21.66,0.0130963517305894
3,5,21.58,21.34,-0.0111214087117701
4,5,21.2,21.38,0.00849056603773584
5,5,21.38,21.57,0.00888681010289997
6,5,21.44,21.46,0.000932835820895502
7,5,21.51,21.33,-0.00836820083682024
8,5,21.75,20.48,-0.0583908045977011
9,5,18.71,17.79,-0.0491715660074827
10,5,17.81,17.85,0.00224592925322868
11,5,17.98,17.75,-0.0127919911012236
12,5,17.62,17.54,-0.00454029511918285
13,5,17.58,17.5,-0.00455062571103517
14,5,17.57,17.41,-0.0091064314171884
15,5,17.41,17.48,0.00402067777139577
16,5,17.59,17.97,0.0216031836270608
17,5,17.94,17.77,-0.00947603121516174
18,5,17.72,17.52,-0.0112866817155756
19,5,17.55,17.62,0.003988603988604
20,5,17.68,17.71,0.00169683257918558
21,5,17.68,17.92,0.0135746606334843
22,5,17.9,18.06,0.00893854748603353
23,5,18,17.78,-0.0122222222222222
24,5,17.85,17.62,-0.0128851540616247
25,5,17.71,18.1,0.0220214568040655
26,5,18.05,18,-0.00277008310249311
27,5,18,17.87,-0.00722222222222217
28,5,17.94,17.82,-0.0066889632107024
29,5,17.9,17.91,0.000558659217877182
30,5,18,18.33,0.0183333333333332
31,5,18.29,18.24,-0.00273373428102792
32,5,18.21,17.95,-0.0142778693025811
33,5,17.91,17.85,-0.00335008375209373
34,5,17.77,17.47,-0.0168823860438942
35,5,17.55,17.53,-0.00113960113960112
36,5,17.59,17.36,-0.0130756111426947
37,5,17.4,17.21,-0.0109195402298849
38,5,17.07,16.74,-0.0193321616871706
39,5,16.84,17.1,0.0154394299287412
40,5,16.95,16.96,0.000589970501475019
41,5,16.8,16.9,0.00595238095238083
42,5,16.8,16.69,-0.00654761904761901
43,5,16.89,16.84,-0.00296033155713444
44,5,16.62,16.65,0.0018050541516244
45,5,16.89,16.57,-0.0189461219656602
46,5,16.66,16.84,0.0108043217286915
47,5,16.84,17.01,0.0100950118764847
48,5,16.81,16.41,-0.0237953599048185
49,5,16.43,16.55,0.00730371272063305
50,5,16.56,16.62,0.00362318840579724
51,5,17.04,16.9,-0.00821596244131459
52,5,16.92,16.84,-0.00472813238770696
53,5,16.91,16.96,0.00295683027794209
54,5,17,17.07,0.00411764705882355
55,5,17.07,17.17,0.00585823081429417
56,5,17.15,17.54,0.0227405247813411
57,5,17.49,17.61,0.00686106346483711
58,5,17.66,17.85,0.0107587768969423
59,5,17.71,17.45,-0.0146809712027104
60,5,17.57,17.45,-0.00682982356289135
61,5,17.42,17.3,-0.00688863375430545
62,5,17.22,17.04,-0.0104529616724739
63,5,17.06,16.99,-0.00410316529894492
64,5,16.93,16.85,-0.00472533963378608
65,5,16.85,16.92,0.00415430267062316
66,5,16.98,16.95,-0.00176678445229689
67,5,16.89,17.1,0.0124333925399645
68,5,17.06,17.06,0
69,5,17.11,17.37,0.0151957919345413
70,5,17.34,17.4,0.00346020761245667
71,5,17.49,17.53,0.00228702115494584
